phase,mjd,filter,mag_ab,Aps
-4040.393,56042.44,g,22.20636157,12
-4040.383,56042.45,g,22.24794182,11
-3687.433,56395.4,g,22.00023356,12
-3014.173,57068.66,g,21.84461911,10
-6.343,60076.49,g,21.79191752,18
-4039.383,56043.45,r,21.88253356,14
-4039.373,56043.46,r,21.59555011,14
-3677.413,56405.42,r,21.59683356,14
-3677.403,56405.43,r,21.73401911,14
-3371.223,56711.61,r,21.14420461,17
-3371.223,56711.61,r,21.14420461,17
-3371.213,56711.62,r,21.43276826,16
-3371.203,56711.63,r,21.22816801,9
-3347.323,56735.51,r,22.00292646,18
-3347.313,56735.52,r,21.66034182,18
-3014.173,57068.66,r,22.13313616,10
-2667.203,57415.63,r,21.09476027,6
-2667.193,57415.64,r,21.24462858,7
-2667.183,57415.65,r,21.04261944,8
-2667.173,57415.66,r,21.30225785,9
-2667.173,57415.66,r,21.30225785,9
-2500.563,57582.27,r,21.68191171,13
-2500.553,57582.28,r,21.6896407,12
-2500.543,57582.29,r,21.70716164,13
-2500.523,57582.31,r,21.81334182,13
-4411.393,55671.44,i,21.98433616,16
-4411.383,55671.45,i,21.90671409,17
-4037.373,56045.46,i,21.88295183,12
-4037.363,56045.47,i,21.98253616,12
-3677.433,56405.4,i,21.83245183,14
-3677.423,56405.41,i,21.87311752,15
-3297.523,56785.31,i,21.69836157,15
-3297.503,56785.33,i,21.87528072,15
-3297.493,56785.34,i,21.67014182,17
-3297.483,56785.35,i,21.90553616,16
-3295.493,56787.34,i,21.95617406,15
-3295.473,56787.36,i,21.89778072,15
-3240.563,56842.27,i,22.09139866,17
-3240.543,56842.29,i,22.12372646,17
-3240.533,56842.3,i,21.70311911,17
-3240.523,56842.31,i,22.25632284,17
-3022.233,57060.6,i,21.23362858,20
-3022.213,57060.62,i,21.0755179,19
-3022.203,57060.63,i,21.29915785,19
-3022.183,57060.65,i,21.28490624,19
-3014.173,57068.66,i,21.88201752,14
-2999.253,57083.58,i,21.72481752,16
-2999.243,57083.59,i,21.24066568,17
-2999.223,57083.61,i,21.46053356,17
-2999.213,57083.62,i,21.63406157,17
-2964.383,57118.45,i,20.92990624,15
-2964.373,57118.46,i,21.23716826,14
-2964.363,57118.47,i,20.67705953,14
-2964.343,57118.49,i,21.27226826,14
-2611.353,57471.48,i,21.15059393,16
-2611.323,57471.51,i,21.19599393,17
-2282.243,57800.59,i,21.80531409,8
-2282.233,57800.6,i,21.78405183,9
-2282.213,57800.62,i,21.42866865,8
-2254.353,57828.48,i,21.66376157,18
-2254.333,57828.5,i,21.74724182,18
-2254.313,57828.52,i,21.95277406,19
-2232.403,57850.43,i,21.85233616,18
-2232.393,57850.44,i,21.90969866,19
-2232.383,57850.45,i,21.89857406,19
-2232.373,57850.46,i,21.94099866,17
-2200.473,57882.36,i,21.50616164,17
-2200.453,57882.38,i,21.06575785,18
-2200.443,57882.39,i,21.04730049,19
-2200.433,57882.4,i,20.9344412,19
-1905.253,58177.58,i,19.78239663,16
-1905.243,58177.59,i,20.31696568,17
-1824.483,58258.35,i,21.33426801,13
-1824.473,58258.36,i,21.04286027,12
-1824.463,58258.37,i,21.16867909,13
-1824.443,58258.39,i,21.20559663,14
-1817.513,58265.32,i,20.60133802,16
-1817.503,58265.33,i,18.10988072,16
-1817.483,58265.35,i,19.82306826,16
-1817.473,58265.36,i,19.57030811,16
-1791.553,58291.28,i,21.79311409,15
-1791.553,58291.28,i,21.79311409,15
-1791.543,58291.29,i,21.81785183,16
-1791.543,58291.29,i,21.81785183,16
-1791.523,58291.31,i,21.68804182,14
-1791.513,58291.32,i,21.58233356,15
-1574.193,58508.64,i,22.29105317,17
-1574.183,58508.65,i,21.54258062,16
-1408.563,58674.27,i,21.76061752,18
-1408.553,58674.28,i,21.56991911,17
-1408.543,58674.29,i,21.58896157,18
-1408.533,58674.3,i,21.79172646,17
-1166.273,58916.56,i,20.92656568,13
-1166.263,58916.57,i,20.5935179,14
-1166.243,58916.59,i,20.25491424,15
-1166.233,58916.6,i,20.57417516,15
-1164.313,58918.52,i,20.25990811,13
-1164.303,58918.53,i,20.41243356,13
-1164.293,58918.54,i,20.50911011,13
-1164.283,58918.55,i,20.74486865,14
-1135.413,58947.42,i,20.35499393,18
-1135.403,58947.43,i,20.19595011,20
-1131.383,58951.45,i,20.77768062,12
-1131.383,58951.45,i,20.77768062,12
-1131.373,58951.46,i,21.00234147,17
-1131.373,58951.46,i,21.00234147,17
-1131.353,58951.48,i,20.55775785,13
-1131.353,58951.48,i,20.55775785,13
-1131.343,58951.49,i,21.01176568,15
-1131.343,58951.49,i,21.01176568,15
-1131.263,58951.57,i,19.32991011,16
-1131.253,58951.58,i,20.24015785,19
-1131.243,58951.59,i,20.35591832,18
-1131.233,58951.6,i,20.38613356,18
-1113.423,58969.41,i,21.47066164,11
-1113.403,58969.43,i,21.39613356,11
-1113.393,58969.44,i,21.06686801,10
-1113.373,58969.46,i,21.05706801,10
-1112.443,58970.39,i,21.43708731,16
-1112.433,58970.4,i,21.6665407,16
-1112.423,58970.41,i,21.70491911,15
-1112.423,58970.41,i,21.70491911,15
-1104.393,58978.44,i,21.56624182,13
-1104.373,58978.46,i,20.68688847,13
-1104.353,58978.48,i,21.32641171,9
-1102.443,58980.39,i,22.30284047,16
-1102.433,58980.4,i,22.36053647,17
-1102.423,58980.41,i,22.0982882,16
-1102.413,58980.42,i,21.54855183,16
-1082.423,59000.41,i,21.56595183,16
-1082.413,59000.42,i,21.52201752,16
-1074.403,59008.43,i,20.01683356,14
-1072.403,59010.43,i,21.58216826,15
-1072.393,59010.44,i,21.62531171,14
-1072.383,59010.45,i,21.13335785,14
-1072.373,59010.46,i,21.67236164,16
-1071.413,59011.42,i,21.35779393,12
-1071.393,59011.44,i,21.26879393,14
-1071.393,59011.44,i,21.26879393,14
-1071.383,59011.45,i,21.37788731,16
-1071.383,59011.45,i,21.37788731,16
